textos,ODS_real,predicciones_regresion_logistica,predicciones_red_neuronal,predicciones_knn
"En Chile, Estados Unidos, México y Turquía (hasta 2014), la cobertura del seguro de salud es voluntaria al menos para una parte de la población. En Chile, los empleados del sector formal deben inscribirse en un plan de seguro de salud y pagar el 7% de su ingreso mensual o pensión por cobertura. Pueden optar por inscribirse en el fondo de seguro público, llamado Fonasa, que cubre alrededor del 76% de la población o en uno de los trece fondos de seguro de salud privados (Isapres). Siete fondos privados compiten en un mercado abierto, mientras que otros están asociados a empresas públicas y sus empleados.",3,3,3,3
"Sin embargo, en muchos países se utilizan diferentes líneas de pobreza absoluta. Por ejemplo, la Oficina del Censo de los Estados Unidos utiliza un umbral de pobreza absoluta, que en 2014 era de $12 071 al año para un hogar de un solo adulto. Por el contrario, las medidas relativas utilizan líneas de pobreza que se establecen en relación con la situación promedio dentro de una sociedad.",1,1,1,1
"En 2007, el gobierno central financió directamente solo el 0,3% del gasto total en salud, pero realizó transferencias específicas para el gasto en salud que ascendieron a otro 5,6% del gasto total. La mayor parte del gasto presupuestario en salud lo realizan los gobiernos de los condados. Por lo tanto, los condados pobres solo pueden ofrecer un bajo nivel de atención a la población local. El gobierno provincial proporciona subsidios del lado de la oferta a los hospitales.",3,3,3,3
"Combinados con la provisión de servicios públicos, como salud y educación, estos populares programas contribuyeron a una mejora general en los resultados sociales y redujeron la desigualdad al tiempo que ofrecían una baja relación costo-beneficio. Los programas de transferencia de efectivo Bolsa Familia de Brasil y Oportunidades de México aumentaron las tasas de matriculación y asistencia escolar al mismo tiempo que redujeron el trabajo infantil. An International Assessment (Nueva York, 2010), Goran Holmqvist, ""Financiamiento externo de la protección social: oportunidades y riesgos"" Development Policy Review, vol.",1,1,4,1
"El promedio de TALIS, sin embargo, oculta diferencias significativas entre países. También incluye las horas trabajadas durante los fines de semana, las noches u otras horas fuera del salón de clases. La suma de horas dedicadas a diferentes tareas puede no ser igual al número total de horas de trabajo porque se preguntó a los docentes sobre estos elementos por separado.",4,4,4,4
"Por lo general, las mujeres comienzan a consumir sustancias más tarde que los hombres, pero una vez que han iniciado el consumo de sustancias, las mujeres tienden a aumentar su tasa de consumo de alcohol, cannabis, opioides y cocaína más rápidamente que los hombres y pueden progresar más rápidamente que los hombres hacia el desarrollo de trastornos por consumo de drogas. En Europa sudoriental, casi tres de cada cinco personas en tratamiento por consumo de drogas lo están por trastornos relacionados con el consumo de opioides. El tratamiento por consumo de cocaína sigue siendo importante en América del Norte, América Latina y el Caribe y, en menor medida, en Europa occidental y central, mientras que las anfetaminas siguen siendo un problema principalmente en Asia oriental y sudoriental y, en cierta medida, en América del Norte. Yo, Nady El-Guebaly, Giuseppe Carra y Marc Galanter, cds. (Milán, Springer, 2015). El cannabis es la principal droga por la que se busca tratamiento por consumo de drogas en África, pero muchos países, sobre todo Mozambique, Nigeria, Sudáfrica y la República Unida de Tanzanía, han informado de un número cada vez mayor de personas que inician tratamiento por trastornos relacionados con el consumo de opioides.",3,3,3,3
"La pobreza también aumentó entre la población activa. De hecho, no todos los pobres están en paro, como demuestra la tasa de pobreza del 10,5% entre los que trabajan. Esto se explica por el importante número de trabajadores mal remunerados, muchos de los cuales trabajan menos de la jornada completa. Los jubilados, por el contrario, vieron disminuir sus niveles de pobreza relativa a medida que bajaban los ingresos medios. Si se comparan las diferentes composiciones de los hogares, las tasas de pobreza son más elevadas y han aumentado más entre las familias con hijos, y las familias que tienen más hijos se ven especialmente afectadas por la pobreza. El umbral de pobreza es el 60% de la renta mediana disponible en cada año, ajustada al tamaño del hogar.",1,1,1,1
"Esto puede estar relacionado con las bajas tasas de pago y/o el sistema Zakat que cubre solo a una parte de la población pobre. En Azerbaiyán, la asistencia social específica se introdujo en 2006 y el número de familias que recibieron asistencia se triplicó durante el período 2007-14 a casi 145 000, pero con la caída de los precios del petróleo y los ingresos del petróleo, el número de familias que recibieron apoyo se redujo a poco menos de 100. 000. En China, el número de beneficiarios de asistencia social en 2015 asciende a alrededor de 67 millones (18 millones en áreas urbanas y 49 millones en áreas rurales), y los cronogramas de pago parecen afectar los incentivos financieros para trabajar para los beneficiarios, como en tantos países de la OCDE. (OCDE, 2017, de próxima publicación).",1,1,1,1
"La educación secundaria superior se está convirtiendo en el mínimo deseado, mientras que aquellos que no alcanzan este estándar (la mitad de todos los jóvenes en la actualidad) pueden quedarse atrás a medida que la economía se desarrolla de una manera que inevitablemente reducirá su dependencia de los trabajos poco calificados. La creciente desigualdad en Costa Rica refleja esta preocupante brecha de habilidades (OCDE, 2017a, próxima publicación). Las tasas de participación y las opciones de segunda oportunidad han crecido rápidamente, con la ayuda de una serie de medidas para abordar la deserción escolar y la repetición de grado, las universidades públicas muy respetadas brindan una meta atractiva para aquellos que se destacan académicamente, el sistema de escuelas técnicas ofrece una vía atractiva y de alto nivel, Además, en el Instituto Nacional de Capacitación (Instituto Nacional del Aprendizaje, INA), un sistema bien financiado que brinda capacitación ocupacional inicial y perfeccionamiento, un currículo reformado brinda ahora una gran oportunidad para repensar la educación secundaria superior. Este capítulo analiza cómo Costa Rica puede aprovechar estas fortalezas para establecer un sistema más inclusivo.",4,4,4,4
"El Foro de Docentes del 17CCEM hizo un llamamiento para renovar la atención sobre la profesionalidad de los docentes en el contexto más amplio de las repercusiones de la recesión mundial y los posibles cambios en las pautas de migración de los docentes. En 2006, la Secretaría encargó a SAQA la realización de un estudio piloto en ocho países. La Commonwealth se ha beneficiado de la experiencia profesional de SAQA, que responde a las necesidades nacionales, regionales e internacionales en el ámbito de las cualificaciones profesionales y la acreditación.",4,4,4,4
"Es relevante para medir la longevidad promedio de la población en su conjunto y se recopila utilizando estándares bien establecidos. La esperanza de vida se puede medir al nacer ya distintas edades. Todas las expectativas de vida miden cuánto tiempo en promedio las personas podrían esperar vivir en función de las tasas de mortalidad específicas por edad que prevalecen actualmente. Sin embargo, la esperanza de vida al nacer es solo una estimación de la esperanza de vida de una determinada cohorte, ya que las tasas de mortalidad específicas por edad de cualquier cohorte de nacimiento en particular no se pueden conocer de antemano. Las medidas de la esperanza de vida al nacer se refieren a las personas nacidas hoy y la OCDE las calcula como el promedio no ponderado de la esperanza de vida de hombres y mujeres. Los indicadores de esperanza de vida cumplen una serie de criterios que caracterizan a los indicadores ""ideales"" (Cuadro 5.1), con la excepción de la disponibilidad de información desagregada entre varios grupos de población.",3,3,3,3
"Los niños menores de 18 años representan el 52% de la población total de estos países.6 Los países incluidos en el análisis han experimentado un gran crecimiento demográfico en las últimas décadas, y se espera que la tendencia continúe. Las proyecciones demográficas muestran una duplicación de la población africana entre 2015 y 2050, y predicen que el 37% de todos los niños menores de 18 años se encontrarán en el continente africano en 2050 (UNICEF, 2014). Por un lado, los resultados muestran la privación total de todos los niños en los países del África subsahariana seleccionados, mientras que, por otro lado, los resultados funcionan como una comparación de los niveles de privación de los niños entre países. ",1,1,1,3
"Las estimaciones para 2009 sugieren que las tasas de pobreza e indigencia podrían aumentar en 1,1 y 0,8 puntos porcentuales, respectivamente. Esto elevaría el número de pobres en la región en casi nueve millones, más de la mitad de los cuales serían indigentes. Durante la crisis mexicana de 1995, el PIB per cápita cayó 1,2% a nivel regional y al menos 2% en Argentina, México y Uruguay.",1,1,1,1
"Según la evidencia seleccionada, solo se acepta alrededor del 10% de los candidatos que solicitan estudios para maestros de primaria. Los solicitantes de formación docente deben haber aprobado el examen de matriculación finlandés (o un equivalente extranjero) o haber completado un programa de formación profesional de tres años. El proceso de selección para la formación de maestros de primaria consta de dos etapas: un examen para evaluar las habilidades de aprendizaje académico de los solicitantes y una combinación de preguntas escritas y pruebas de aptitud para evaluar sus habilidades, motivación y compromiso.",4,4,4,4
"La educación se identificó como un objetivo independiente (ODS 4). Las comunidades epistémicas han documentado una serie de vínculos entre la educación y otras áreas de los ODS, y los formuladores de políticas han reconocido muchos de ellos durante mucho tiempo. Sobre la base de un análisis exhaustivo del contenido de 40 informes mundiales, este documento examina qué tan bien están representados esos vínculos en las principales publicaciones del sistema de las Naciones Unidas.",4,4,4,4
"Una estimación común es que más del 80 por ciento de los habitantes de áreas remotas en todo el país son San y para algunas áreas, la cifra es del 100 por ciento (Hays, 2011). Sin embargo, las escuelas y los albergues tienden a ser poco acogedores para los estudiantes de minorías, incluidos muchos estudiantes san. Los estudiantes san en los internados experimentan sentimientos de dolor y alienación que a veces son agudos.",4,4,1,4
"Sin embargo, a pesar de los esfuerzos recientes, el gasto público en educación se mantiene considerablemente por debajo del promedio de la OCDE y por debajo del gasto equivalente en otros países de América Latina. En una comparación internacional, el gasto público parece ser particularmente bajo en los programas públicos de secundaria superior general. Este nivel de gasto relativamente bajo se traduce en un gasto inadecuado en salarios de maestros y líderes escolares y en materiales de aprendizaje, y desafíos para satisfacer la demanda de plazas en educación preescolar. Si bien se han realizado esfuerzos considerables para aumentar los salarios de los maestros públicos en los últimos años, los salarios relativos de los maestros públicos siguen siendo bajos.",4,4,4,4
"Cuando la instrucción se centra estrictamente en conocimientos, habilidades y formatos de preguntas específicos, los resultados de las pruebas se convierten en una medida cada vez más engañosa del rendimiento de los estudiantes (Hout y Elliott, 2011). Este problema a menudo se exacerba cuando los maestros perciben que las pruebas tienen mucho en juego como resultado de los sistemas de incentivos, también puede ser causado inadvertidamente si las pruebas no se actualizan con frecuencia. Por ejemplo, en Suecia, la prueba estandarizada de Year 5 se usa durante 2 años consecutivos y los maestros pueden, sin darse cuenta, ""enseñar para la prueba"" en el segundo año, lo que genera inflación en las calificaciones y reduce la validez de los resultados (Nusche, de próxima publicación). En Dinamarca, la enseñanza para el examen toma la forma de un mayor enfoque en las áreas de contenido evaluadas y un enfoque reducido en las habilidades creativas, innovadoras y orales (Wandall, 2010 citado en Shewbridge et al.,",4,4,4,4
"Además, existe la preocupación de que el marco actual para el desarrollo profesional del profesorado no responda adecuadamente a las necesidades de los profesores: hay poca flexibilidad en la disposición actual, no está claro si existen oportunidades de aprendizaje adecuadas para los profesores, y los incentivos para participar en el desarrollo profesional parecen estar cada vez más relacionados con los aumentos salariales y la promoción profesional. Por último, Kazajstán muestra un claro compromiso con la rendición de cuentas externa en torno a la evaluación escolar, con un ciclo regular de evaluaciones externas de las escuelas (certificado escolar) y un proceso formal de certificación de los profesores (certificado docente). Sin embargo, el equipo de evaluación se formó la impresión de que se hace demasiado hincapié en la función de rendición de cuentas tanto de la evaluación del profesorado como de la evaluación de las escuelas, y se presta menos atención a los auténticos debates profesionales sobre la enseñanza eficaz. La ""Plantilla estándar de las organizaciones educativas públicas y la lista de puestos docentes y empleados con el mismo estatus"" (Decreto nº.",4,4,4,4
"Se han probado sistemas de microcrédito similares al Grameen Bank de Bangladesh y muchos proyectos han aliviado las peores formas de pobreza, pero pocos han tenido el efecto de ayudar a los pobres a convertirse en participantes de pleno derecho en un sistema económico en el que puedan decidir el futuro por sí mismos. Sobre todo, los escasos ejemplos de acción colectiva de los pobres en respuesta a los retos planteados por el sistema económico indicarían que aún no han pasado de ser meros afrontamientos a estar dispuestos y ser capaces de tomar medidas organizadas para cambiar el sistema. Se trata de países que han adoptado plenamente los valores y las normas de racionalidad modernos.",1,1,1,1
"Por lo tanto, los niños en hogares con baja intensidad de trabajo, manteniendo constantes otras características, tienen más probabilidades de caer en el decil más pobre que los niños que viven en hogares con una intensidad de trabajo mayor o igual al 20%. Las diferencias en la probabilidad de estar en el decil inferior de ingresos según la intensidad del trabajo doméstico son más altas en Eslovenia, seguida de cerca por la República Eslovaca y Estonia. La proporción de niños que viven en hogares desfavorecidos difiere entre los países europeos, siendo el más bajo el 4,9 % en Suiza y el más alto alcanzando aproximadamente el 60 % en Bulgaria. En todos los países europeos incluidos en los análisis, al menos 1 de cada 5 niños del decil más pobre vive en un hogar desfavorecido.",1,1,1,1
"Este régimen puede ser compatible con el Acuerdo sobre los ADPIC, como se explicará más adelante. También cabe señalar que una política de mercado totalmente libre hacia nuevos usos corre el riesgo de disminuir significativamente el incentivo para explorar dichos usos, incluso para los productores locales potenciales. Por esta y otras razones, también discutiremos otros medios de protección que ofrecen una alternativa a las patentes que los países en desarrollo podrían encontrar particularmente adecuados para promover la inversión en el descubrimiento de nuevos usos de sustancias farmacéuticas conocidas. Como se describirá más adelante, la manera en que los gobiernos implementen las opciones disponibles en virtud del Acuerdo sobre los ADPIC determinará tanto el grado en que el titular de la patente originador tendrá control sobre los nuevos usos como el espacio disponible para los innovadores que lo seguirán, incluidas las empresas locales, para producir el producto en cuestión para tales usos. El primero se refiere a la medida en que los ADPIC obligan a los países a proteger los nuevos usos de sustancias conocidas, como una cuestión jurídica técnica. Si el Acuerdo sobre los ADPIC no incluye tal requisito, la segunda pregunta se refiere a los beneficios y perjuicios de elegir si se protegen o no los nuevos usos de sustancias conocidas.",3,3,3,3
"También los datos sobre programas técnico-profesionales incluyen a los docentes en programas de nivel terciario (una proporción menor de los programas supervisados ​​por el CETP). ""Incompleto†significa que los maestros asistían, o estaban asistiendo en el momento en que se realizó el Censo, a un programa terciario pero no lo habían completado. Como se muestra en la Figura 5.2, en Uruguay, el porcentaje de docentes certificados según los informes de los directores de las escuelas a las que asisten jóvenes de 15 años es del 57 % frente a un promedio de la OCDE del 87 %. Como se muestra en la Tabla 5.5, el análisis de los datos de PISA revela que la falta de calificación de los docentes es más grave en las escuelas públicas, los programas técnico-profesionales, fuera de Montevideo y en las escuelas muy desfavorables a medianas (en comparación con las escuelas favorables y muy favorables).",4,4,4,4
"En los cuatro países restantes de los 13, la reducción de la TMM5 nacional tuvo un impacto neutro en la distribución sanitaria. De hecho, parece tan probable que estas mejoras en el conjunto de la sociedad vayan acompañadas de un aumento como de una disminución de las desigualdades. Además, para llegar a algunos grupos es necesario realizar esfuerzos en otros ámbitos, como mejorar la comunicación entre las autoridades locales y los grupos destinatarios, facilitar una mayor participación de las comunidades locales y un mayor acceso a la educación y la información para aumentar la sensibilización de la población sobre las cuestiones sanitarias, entre otros.",3,3,3,3
"El modelo de microsimulación actualmente proyecta el estado de salud y las transiciones del estado de salud a nivel individual, y CBO está desarrollando una metodología para proyectar la elegibilidad para Medicare y Medicaid a nivel individual. El estado de salud está vinculado a la mortalidad, y un mayor desarrollo vinculará el estado de salud con el trabajo, el estado civil, la fertilidad y los gastos federales de atención médica (Topoleski y Manchester, 2009). La población cambia a través de nacimientos, muertes e inmigración.",3,3,3,3
"Estos vinculan el alivio social a un hogar con la inversión en la educación de sus hijos, en forma de transferencias de efectivo condicionadas a la educación. Ciertamente, la educación a la que se apunta es sólo básica. Sin embargo, como un paso en un ataque a la falta de educación incluso básica entre los pobres, tiene mucho que recomendar, aunque es necesario seguir estudiando cuestiones sobre la calidad de la educación recibida y las medidas adicionales necesarias para hacerla parte de un enfoque global para atacar el problema de la educación en estos países. La pobreza, en el largo plazo, debe abordarse a través de la educación y el desarrollo, aunque un programa antipobreza puede tener prioridades más inmediatas en el corto plazo.",1,4,4,4
"Será fundamental garantizar que la información sobre las desigualdades en salud se utilice de manera efectiva para abordar las desigualdades a nivel local y regional, a través de una orientación central continua según corresponda, acordando objetivos, difundiendo y fomentando la ampliación de iniciativas locales exitosas. para hacer frente a las desigualdades y otras medidas. Incentivar o exigir que los médicos jóvenes ejerzan en áreas desatendidas durante sus primeros años de práctica puede ser una forma de abordar las disparidades geográficas. Esto no parece ocurrir sistemáticamente en la actualidad. De hecho, sigue existiendo la preocupación de que al especializarse ciertos servicios hospitalarios a un nivel superior, los pacientes tendrán que viajar más lejos para recibir atención.",3,3,3,4
"Casi uno de cada cuatro estudiantes obtuvo un rendimiento inferior en PISA 2009 y no alcanzó el nivel que se considera necesario para participar de manera efectiva en la sociedad. Las prácticas no equitativas a nivel del sistema, como el seguimiento temprano y la transferencia a las escuelas especiales, pueden obstaculizar la equidad y la calidad. El progreso también se ve obstaculizado por la falta de apoyo sistémico para garantizar la capacidad de los maestros y los líderes escolares para abordar las diversas necesidades de los estudiantes y brindar una educación más inclusiva y por la necesidad de una mayor claridad para guiar a las escuelas.",4,4,4,4
"Sin embargo, la proporción del pago de bolsillo por productos farmacéuticos es alta, representando el 18 % del gasto sanitario actual, en comparación con el promedio de la OCDE del 7 %. Esto sugiere que el acceso a los productos farmacéuticos puede ser un desafío en el país, particularmente entre los grupos de bajos ingresos. Los datos sobre consumo y ventas de productos farmacéuticos son limitados en Letonia, pero los únicos datos disponibles para comparaciones internacionales muestran que las ventas de antibacterianos para uso sistémico medidas en dosis diaria definida (DDD) son aproximadamente un 35 % más bajas que el promedio de la OCDE.",3,3,3,3
"En el primer subperíodo, el número de personas en situación de pobreza disminuyó un 2,6% anual, mientras que el número de personas en pobreza extrema disminuyó un 2% anual. Entre 2012 y 2014, el número de personas en situación de pobreza y pobreza extrema disminuyó a tasas anuales de solo 0,2% y 0,4%, respectivamente. Por último, en 2015 y 2016 el PIB per cápita de la región se contrajo un 1,8% anual, mientras que la proporción de personas en situación de pobreza y pobreza extrema creció un 5% y un 12%, respectivamente (véase el gráfico II.2). Costa Rica, República Dominicana.",1,1,1,1
"En respuesta, el Director General presentó un informe ""Reforma del trabajo de la OMS en la gestión de emergencias sanitarias: Programa de Emergencias Sanitarias de la OMS"". /70/723) al Secretario General. Estos incluyen, entre otros, (a) una revisión The Neglected Dimension of Global Security: A Framework to Counter Infectious Disease Crises de la Academia Nacional de Medicina (NAM),2 (b) una iniciativa conjunta de la Universidad de Harvard y la London School of Hygiene and Tropical Medicine (Moon y otros, 2015), (c) una revisión de un panel independiente creado por la Fundación Bill y Melinda Gates y (d) una revisión de MSF (2015).",3,3,3,4
"Además, el Global Burden of Disease Study 2015 presenta las muertes relacionadas con el VIH y la hepatitis C, así como otras causas que en su mayoría se omiten en los informes de la UNODC. Oceanía (basado únicamente en datos de Australia y Nueva Zelanda) también tiene una alta tasa de mortalidad relacionada con las drogas, más de 2,5 veces el promedio mundial. Se estima que un gran número de muertes relacionadas con las drogas (35% del total mundial) ocurren en Asia, aunque este número es provisional debido a la escasa cobertura regional y la notificación de datos de mortalidad. A pesar del gran número de muertes, la tasa de mortalidad relacionada con las drogas en Asia está por debajo del promedio mundial. Debido a las diferencias en los informes, las comparaciones entre países y regiones deben realizarse con el mayor cuidado.",3,3,3,3
"Estas políticas están integradas en las políticas escolares más amplias y en los contextos sociales. Este marco considera que la política educativa está incrustada en una sociedad en particular y restringida por el entorno institucional y cultural más amplio de un lugar y tiempo en particular. Al establecer reglas para el sistema escolar y guiar las acciones de los tomadores de decisiones locales, los formuladores de políticas educativas tienen como objetivo promover un aprendizaje excelente, equitativo e inclusivo. Su éxito en el logro de este objetivo final depende de las políticas que elijan y también de cómo las políticas particulares interactúan entre sí y con el entorno más amplio en el que se aplican.",4,4,4,4
"Los días 9 y 10 de abril de 2018 tuvo lugar en Estocolmo una misión exploratoria que incluyó reuniones con funcionarios del Ministerio de Educación e Investigación, la Agencia Nacional de Educación y representantes de instituciones de formación del profesorado, municipios, escuelas independientes, sindicatos de profesores y directores, así como investigadores (anexo A). En cada sección se describen las políticas actuales, se analiza la situación y se ofrecen a Suecia ejemplos prometedores de países homólogos en varios niveles políticos: el aula, la escuela (o la universidad en algunos casos), el municipio, la región y el sistema. Con ello se pretende subrayar la responsabilidad compartida a todos los niveles del sistema educativo en la integración de los alumnos inmigrantes y refugiados. Por último, se ofrecen sugerencias políticas para orientar a Suecia sobre la mejor manera de responder a los actuales retos de integración en estos cuatro ámbitos. ",4,4,4,4
"Wiley comparó los REA con un cepillo de dientes, que solo ofrece el potencial de mejorar la higiene dental cuando se usa (Thomas, 2010, Wiley, 2011). El uso de la tecnología educativa generalmente se clasifica por su propósito en relación con el entorno de enseñanza y aprendizaje existente en el que se utiliza. El modelo SAMR desarrollado por Puentedura (2006) constituye un marco que se puede aplicar a cómo se utilizan los REA en la enseñanza y el aprendizaje.",4,4,4,4
"Formulario único de recogida de datos - Datos agregados). Una estancia de más de 24 horas se considera una lesión grave, y menos, una lesión leve. Sin embargo, desde 2010, la ANSV está trabajando con el Ministerio de Salud de la Nación para vincular los registros hospitalarios y los datos del Formulario Naranja. Este proyecto de vinculación se inició como piloto en dos de las provincias más pobladas de Argentina, con el fin de recopilar datos basados en el MAIS 3. ",3,3,1,3
"Sin embargo, el número de personas pobres que viven en Chennai en comparación con Bangalore es mayor, constituyen el 18,53 por ciento de la economía de la ciudad, en comparación con el 15 por ciento en Bangalore. El número más pequeño en Chennai podría ser el resultado del subregistro, una variable sobre la cual el investigador no tiene control directo. Basado en discusiones con la Dirección de Economía y Estadística de Tamil Nadu, una posible explicación para esto es que en Chennai, la mayor parte de la manufactura que contribuye al PIB de la ciudad está más allá de los límites de la corporación de la ciudad, mientras que en Bangalore, los altos contribuyentes a el PIB de la ciudad, las industrias de TI, están ubicadas muy dentro de los límites de la ciudad. Esto podría deberse en parte al hecho de que el gobierno de Tamil Nadu es bastante generoso en lo que respecta a los salarios de los trabajadores.",1,1,1,1
"El panel A utiliza medidas del gasto social en una serie de transferencias sociales en efectivo - prestaciones de vivienda, prestaciones de desempleo, prestaciones de incapacidad, prestaciones de jubilación, una serie de prestaciones familiares - además de una medida de la proporción del gasto social dirigido al 10% más pobre de los hogares. El panel B utiliza medidas de las tasas de pago de las transferencias sociales en efectivo, que abarcan las prestaciones de vivienda, la asistencia social y los suplementos por hijos, todas ellas medidas como la tasa media de pago para una familia biparental como porcentaje del salario medio. En todos los casos, las estimaciones están condicionadas a la tasa de pobreza infantil previa a la transferencia (es decir, la tasa de pobreza infantil relativa previa a la transferencia se incluye en todos los modelos como variable independiente), para tener en cuenta todos los demás posibles determinantes de la pobreza infantil que varían con el tiempo. La Tabla 2 muestra los resultados basados en el cambio dentro del país.",1,1,1,1
"Las versiones anteriores de este documento recibieron comentarios de Anthony Atkinson, Francois Bourguignon, Matthew Hammill, Johannes Jutting, Marco Mira d'Ercole y Martin Ravallion, por lo que los autores agradecen. Los autores están en deuda con el Banco Mundial por la disponibilidad en línea de los datos de distribución en la base de datos PovCalNet, un agradecimiento especial a Shaohua Chen por proporcionar algunos de los datos subyacentes directamente a los autores. La década de 2000 fue la primera en presenciar una convergencia incondicional entre países en una generación, ya que los países pobres, encabezados por China e India, crecieron más rápido que las economías avanzadas de la OCDE. El rápido crecimiento en el mundo en desarrollo ha reducido drásticamente la pobreza extrema: hay 620 millones menos de personas extremadamente pobres en el mundo ahora que en 1990, el mundo está en camino de lograr la meta de reducir a la mitad el número de personas que viven con un dólar al día como se propuso hacer en la Declaración del Milenio.",1,1,1,1
"Los estándares de calidad, los indicadores y los marcos de seguimiento están mucho menos desarrollados en la atención primaria. Esto puede deberse a que la atención hospitalaria es más procedimental y, por lo tanto, es más susceptible de estandarización y medición. Las fortalezas de la atención primaria (integralidad, coordinación y continuidad) son más difíciles de definir y medir.",3,3,3,3
"Involucrar a los profesores como codiseñadores en la implementación de actividades de aprendizaje potenciadas por la tecnología da como resultado la mayor integración de actividades ricas en tecnología en las prácticas de los profesores, en comparación con el hecho de que sean rediseñadores o simplemente ejecutores de actividades diseñadas (Cviko, McKenney y Voogt, 2014). Esto da agencia a los profesores como aprendices y fomenta el desarrollo de comunidades profesionales de aprendizaje (Lieberman, Campbell y Yashkina, 2015). Para comprender cómo se desarrollan las TEPI, el estudio SITES-M2 recopiló información sobre contextos escolares, regionales y nacionales más amplios (Kozma, 2003).",4,4,4,4
"De este modo, todos los alumnos de cualquier asignatura pueden recuperar y acelerar su aprendizaje. En los últimos años, varios países de la OCDE, como Austria, la República Checa, Francia y Luxemburgo, han restringido las circunstancias en las que se aplica la repetición de curso. El progreso académico, por sí solo, puede proporcionar una información demasiado limitada sobre la mejora de los alumnos.",4,4,4,4
"Estos debates han tendido a centrarse en si el crecimiento impulsado por el mercado es suficiente para eliminar la pobreza y reducir la desigualdad, o si son necesarias políticas específicas porque el crecimiento no focalizado puede ser insuficiente o incluso perverso. El documento traza los resultados degenerativos de estos debates y el surgimiento del paradigma de crecimiento inclusivo (IG) dentro del Banco Mundial. Un examen crítico de IG sugiere que sus debilidades se abordan mejor a través de una reafirmación más ambiciosa de los objetivos de política económica a favor de los pobres.",1,1,1,1
"Mientras que en los países de la OCDE los hogares pagan en promedio el 40 % del costo de los productos farmacéuticos de su bolsillo, en Kazajstán la cifra es del 84 % (OCDE, 2018). Los medicamentos prescritos en la atención primaria generalmente los paga el paciente y solo se proporcionan de forma gratuita a los pacientes con una ""enfermedad socialmente significativa"" de la lista. No se sabe, sin embargo, hasta qué punto está disponible la cobertura de medicamentos hospitalarios (en términos de cantidades) para una determinada afección. Para aliviar la carga de costos de los medicamentos para los pacientes, el gobierno ha ido ampliando gradualmente el paquete de beneficios de medicamentos ambulatorios desde su introducción en 2005, pero persisten los altos costos de bolsillo.",3,3,3,3
"La segunda sección se centra en las variaciones dentro de los países y a lo largo del tiempo, y explora cómo los cambios en la proporción de alumnos por docente, el tamaño de la clase, la remuneración de los docentes y la autonomía escolar para seleccionar docentes se relacionan con las tendencias de desempeño en todos los países y economías participantes de PISA. La última sección se centra en las variaciones dentro de los países y explora cómo las calificaciones y la experiencia de los docentes, la rotación de docentes y el apoyo al aprendizaje profesional de los docentes se relacionan con los resultados a nivel escolar. El uso de dichos datos por parte de la OCDE es sin perjuicio del estado de los Altos del Golán, Jerusalén Este y los asentamientos israelíes en Cisjordania según los términos del derecho internacional.",4,4,4,4
"Se llevó a cabo un ejercicio de planificación maestra para la atención primaria en el contexto de un proyecto del Banco Mundial con el objetivo de determinar cómo se podría adaptar la red de establecimientos de atención primaria en cada región (Sanigest International, 2014). Sobre esta base, las autoridades locales deben desarrollar e implementar su plan de reestructuración para la red pública, pero también deben permanecer abiertos a considerar y probar nuevos modelos de prestación de servicios. La geografía del país y la baja densidad de población plantean desafíos únicos para la prestación de servicios de salud.",3,3,3,3
"Estos indicadores incluyen, por ejemplo, la capacidad de registrar a personas con esquizofrenia, trastorno bipolar y otras psicosis y una serie de pruebas de detección (IMC, consumo de alcohol, glucosa en sangre) para pacientes con esquizofrenia, trastorno bipolar y otras psicosis. También existe un indicador QOF para ""El porcentaje de pacientes en el registro que tienen un plan de atención integral documentado en los registros acordados entre las personas, sus familiares y/o cuidadores según corresponda"" (BMA (2014). Para una lista completa de indicadores QoF 2013/14 ver BMA, 2014).",3,3,3,3
"En la mayoría de los países de la UE se observan tendencias crecientes en la mortalidad por demencia y enfermedad de Alzheimer, lo que posiblemente refleje en parte dichos cambios. Es probable que esto también explique las diferencias significativas entre países en las tasas de mortalidad que van, por ejemplo, de 279 por 100 000 habitantes en 2013 en Finlandia (notable por su alta mortalidad por demencia) a <5 en Malta y Letonia (Niu et al., La enfermedad de Alzheimer y otras enfermedades del sistema nervioso se encuentran entre las causas que más contribuyeron a la disminución de la esperanza de vida en 2015 observada en Europa y otros países de ingresos altos.",3,3,3,3
"Noruega ya ha comenzado a trabajar en este ámbito, y en la actualidad cuenta con 17 equipos de TCA, dos de los cuales son equipos de Tratamiento Asertivo Comunitario Flexible (F-ACT). De hecho, se espera para 2014 un informe de evaluación sobre el impacto de la implantación de los equipos ACT en Noruega, que debería proporcionar una valiosa visión de los puntos fuertes y débiles de este importante servicio. Esto supone alrededor de 138 personas ingresadas involuntariamente por cada 100 000 habitantes adultos, y unos 198 ingresos involuntarios por cada 100 000 habitantes adultos.",3,3,3,3
"Esto iba en contra de los objetivos de la política sanitaria, la eficiencia del sistema sanitario y la equidad. Su objetivo es que EOPYY pueda adquirir todos los servicios sanitarios necesarios para satisfacer las necesidades de la población. Otras medidas en el ámbito del diagnóstico han consistido en reducir los precios pagados por el sistema sanitario público y frenar la prescripción excesiva de diagnósticos especializados. En 2013 se pusieron en marcha reformas estructurales para reducir el número de camas, clínicas y unidades especializadas, pero su aplicación ha sido limitada.",3,3,3,3
